,Good,RX 580$169,R5 2600X$150,MSI B450-A Pro$90,8GB DDR4$39,$669
,Very good,GTX 1660$230,R7 2700$183,MSI X470 Gaming Pl...$135,8GB DDR4$39,$835
,Great,GTX 1660 Ti$270,R7 2700X$198,MSI X470 Gaming Pl...$135,8GB DDR4$39,$937
,Excellent,RTX 2060S$400,R7 3700X$330,ASUS X570-Plus$190,16GB DDR4$71,$1319
,Exceptional,RTX 2080S$700,i9 9900K$495,MSI Z390 Carbon$189,16GB DDR4$71,$1945
,Enthusiast,RTX 2080 Ti$1100,R9 3900X$715,GIGABYTE X570 Elit...$200,16GB DDR4$71,$2661
,Extremist,RTX 2080S x2$1400,TR 2950X$801,Gigabyte X399 Aoru...$280,32GB DDR4$135,$3385
,,,,,,
20200105,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,Vega 11 $0,R5 2400G $149,GIGABYTE B450M DS3H $72,4GB DDR4 $19,$364
,Entry,RX 560 $100,R5 1600 $118,GIGABYTE B450M DS3H $72,4GB DDR4 $19,$433
,Fair,RX 570 $120,R5 2600 $115,GIGABYTE B450 AORUS M $85,8GB DDR4 $31,$540
,Good,GTX 1650S $160,R5 2600X $139,MSI B450-A Pro $100,8GB DDR4 $31,$637
,Very Good,GTX 1660S $230,R7 2700 $150,MSI X470 Gaming Plus $110,8GB DDR4 $31,$745
,Great,GTX 1660S $230,R5 3600 $190,ASRock X570 Gaming 4 $149,8GB DDR4 $31,$895
,Excellent,RTX 2060S $400,R7 3700X $330,ASRock X570 Steel $185,16GB DDR4 $67,$1302
,Exceptional,RTX 2080S $705,i9 9900K $495,GIGABYTE Z390 Aorus $190,16GB DDR4 $67,$1961
,Enthusiast,RTX 2080 Ti $1100,R9 3900X $494,ASRock X570 Steel $185,16GB DDR4 $67,$2461
,Extremist,RTX 2080S x2$1440,R9 3950X$769,ASUS X570-Pro$235,32GB DDR4$121,$3353
,,,,,,
20200402,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,Vega 11 $0,R5 3400G $160,ASRock B450M Pro4 $70,4GB DDR4 $21,$405
,Entry,RX 560 $100,R5 1600AF $85,GIGABYTE B450M DS3H $73,4GB DDR4 $21,$433
,Fair,GTX 1650S $160,R5 2600 $146,GIGABYTE B450 AORUS M $85,8GB DDR4 $36,$644
,Good,GTX 1660S $230,R5 2600X $160,ASRock Fatal1ty B450 K4 $95,8GB DDR4 $36,$756
