Videocard Name,Passmark G3D Mark
Ryzen 5 5500U with Radeon Graphics,2008
Ryzen 5 PRO 4500U with Radeon Graphics,2007
GeForce GT 645,2005
Radeon Ryzen Embedded V2718,1998
GeForce GTX 765M,1997
Radeon R9 M385X,1993
Ryzen 5 5625U with Radeon Graphics,1990
Ryzen 3 PRO 7330U with Radeon Graphics,1984
Radeon R7 + R7 350 Dual,1982
Intel Iris Pro 580,1978
Radeon HD 5850,1978
Radeon HD 6850,1973
Intel Iris Xe MAX,1971
Radeon R7 + HD 7700 Dual,1962
Radeon Ryzen 7 PRO 5875U,1959
Radeon HD 7660D + HD 7700 Dual,1958
Radeon Vega 11 Ryzen 5 PRO 3400G,1956
GeForce GTX 470M,1953
Ryzen 3 5300G with Radeon Graphics,1949
Quadro K4000M,1946
Qualcomm Adreno 8cx Gen 3,1945
GeForce GTX 670MX,1943
Radeon Ryzen 5 7600 6-Core,1940
Radeon RX 640,1939
Radeon R7 450,1936
GeForce GTX 675M,1929
Radeon Pro WX 4130,1928
Intel Iris Xe MAX 100,1927
Quadro 5000,1926
Radeon RX 570X,1923
Radeon Vega 8 Ryzen 3 3200G,1920
Radeon HD 7560D + 7700 Dual,1919
GeForce GTX 560 SE,1914
Matrox C680 PCIe x16,1903
Radeon HD 7700-serie,1899
Radeon HD 8670D + HD 7700 Dual,1892
Ryzen 5 4600U with Radeon Graphics,1891
Radeon Ryzen 5 PRO 5675U,1888
Radeon Vega 11 Ryzen 5 PRO 3400GE w/,1888
Ryzen 3 PRO 4350GE with Radeon Graphics,1885
GeForce GTX 645,1874
GeForce GTX 460 v2,1871
Quadro M520,1870
FirePro 3D V7800,1867
Radeon Ryzen Embedded R2544,1864
GeForce GTX 570M,1863
Radeon Eng Sample: 100-000000287-40_Y,1861
GeForce MX130,1859
Intel UHD Graphics 770,1859
Radeon RX 540,1858
GeForce 945A,1852
Radeon RX Vega 11 Processor,1843
GeForce MX230,1842
Radeon Ryzen Embedded V2748,1842
FirePro M5100 FireGL V,1839
GRID M60-0B,1838
Radeon Pro WX 2100,1836
Radeon HD 8570D + HD 7700 Dual,1834
Radeon R9 M360,1833
Radeon Vega 11,1829
MxGPU,1826
FirePro M6000,1820
Intel Iris Plus,1817
Radeon RX Vega 10 Ryzen 7 3750H,1816
Ryzen 5 4500U with Radeon Graphics,1816
Matrox C900 PCIe x16,1812
Embedded Radeon E9173,1806
Radeon HD 8870M / R9 M270X / M370X,1799
Radeon Ryzen 5 4600GE with Radeon Graphics,1792
Radeon Vega 8 Ryzen 3 PRO 3200G,1790
Radeon HD 8670D + 7700 Dual,1788
Radeon Ryzen 3 PRO 5450U,1786
Radeon 550,1772
Quadro 5010M,1771
Radeon Ryzen 7 7800X3D 8-Core,1760
Ryzen 3 7330U with Radeon Graphics,1758
GeForce GTX 650,1753
Ryzen 3 PRO 4200GE with Radeon Graphics,1748
Intel Iris Plus 655,1745
Firepro W5170M,1744
Radeon R9 M375X,1741
Intel UHD Graphics 750,1739
Ryzen 5 PRO 5675U with Radeon Graphics,1732
Radeon Ryzen 5 7600X 6-Core,1731
Radeon Ryzen 9 PRO 7945 12-Core,1731
GeForce GTX 670M,1730
Radeon HD 5830,1730
Intel Iris Plus 645,1727
Intel UHD Graphics P750,1726
Ryzen 5 PRO 4650U with Radeon Graphics,1725
FirePro M6000 Mobility Pro,1712
GeForce GTX 760M,1711
Radeon HD 6900M,1702
Radeon Ryzen 7 7700 8-Core,1697
Radeon HD 7750,1694
Radeon Vega 8 Ryzen 5 3550H,1691
Radeon E8860,1686
GeForce GT 755M,1683
Ryzen 3 5425U with Radeon Graphics,1677
Radeon RX Vega11 Ryzen 7 3750H,1674
Radeon R7 M380,1668
FirePro W600,1661
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C3 Ryzen,1653
Radeon HD HD7850M,1651
